,ID,test,body,color,fuel,doors,production_date,transmission,engine_displacement,engine_power,mileage,drive_type,wheel,condition,owners,vehicle_title,price,model,generation,restyling,age,mileage_per_day
23,avto4015,0,седан,коричневый,бензин,4,2016,автоматическая,1.5,136,99000,задний,Левый,Не требует ремонта,1,Оригинал,1290000,3 серия,6,1,4,67.8082191780822
24,avto4121,0,седан,чёрный,бензин,4,2016,автоматическая,1.5,136,50000,задний,Левый,Не требует ремонта,1,Оригинал,1320000,3 серия,6,1,4,34.24657534246575
25,avto4283,0,седан,чёрный,бензин,4,2016,автоматическая,1.5,136,54000,задний,Левый,Не требует ремонта,1,Оригинал,1390000,3 серия,6,1,4,36.986301369863014
26,avto4749,0,седан,цветной,бензин,4,2016,автоматическая,1.5,136,53456,задний,Левый,Не требует ремонта,1,Оригинал,1600000,3 серия,6,1,4,36.61369863013699
27,avto3239,0,хэтчбек,белый,бензин,5,2016,автоматическая,1.5,136,82240,задний,Левый,Не требует ремонта,1,Оригинал,1032840,1 серия,2,1,4,56.32876712328767
28,avto4478,0,внедорожник,белый,бензин,5,2016,автоматическая,1.5,136,58813,передний,Левый,Не требует ремонта,1,Оригинал,1480000,X1,2,0,4,40.282876712328765
29,avto4582,0,седан,белый,бензин,4,2017,автоматическая,1.5,136,43908,задний,Левый,Не требует ремонта,1,Оригинал,1512000,3 серия,6,1,3,40.0986301369863
30,avto4619,0,седан,чёрный,бензин,4,2017,автоматическая,1.5,136,10000,задний,Левый,Не требует ремонта,1,Оригинал,1550000,3 серия,6,1,3,9.132420091324201
31,avto4632,0,седан,серый,бензин,4,2017,автоматическая,1.5,136,7506,задний,Левый,Не требует ремонта,1,Оригинал,1550000,3 серия,6,1,3,6.854794520547945
32,avto4644,0,внедорожник,цветной,бензин,5,2017,автоматическая,1.5,136,18700,передний,Левый,Не требует ремонта,1,Оригинал,1550000,X1,2,0,3,17.077625570776256
33,avto4713,0,внедорожник,белый,бензин,5,2017,автоматическая,1.5,136,32100,передний,Левый,Не требует ремонта,1,Оригинал,1597000,X1,2,0,3,29.315068493150687
34,avto3517,0,хэтчбек,белый,бензин,5,2017,автоматическая,1.5,136,76708,задний,Левый,Не требует ремонта,1,Оригинал,1125000,1 серия,2,1,3,70.05296803652968
35,avto4866,0,купе,белый,бензин,2,2018,автоматическая,1.5,136,33060,задний,Левый,Не требует ремонта,1,Оригинал,1695000,2 серия,0,1,2,45.28767123287671
36,avto3999,0,седан,цветной,бензин,4,2018,автоматическая,1.5,136,110000,задний,Левый,Не требует ремонта,1,Оригинал,1290000,3 серия,6,1,2,150.68493150684932
37,avto4600,0,седан,белый,бензин,4,2018,автоматическая,1.5,136,24350,задний,Левый,Не требует ремонта,1,Оригинал,1535000,3 серия,6,1,2,33.35616438356164
38,avto4608,0,седан,серый,бензин,4,2018,автоматическая,1.5,136,48379,задний,Левый,Не требует ремонта,1,Оригинал,1549000,3 серия,6,1,2,66.27260273972603
39,avto4154,0,хэтчбек,белый,бензин,5,2018,автоматическая,1.5,136,46583,задний,Левый,Не требует ремонта,1,Оригинал,1346000,1 серия,2,1,2,63.81232876712329
40,avto4481,0,хэтчбек,цветной,бензин,5,2018,автоматическая,1.5,136,67000,задний,Левый,Не требует ремонта,1,Оригинал,1484999,1 серия,2,1,2,91.78082191780823
41,avto5048,0,купе,серый,бензин,2,2019,автоматическая,1.5,136,8031,задний,Левый,Не требует ремонта,1,Оригинал,1819000,2 серия,0,1,1,22.002739726027396
42,avto5097,0,купе,белый,бензин,2,2019,автоматическая,1.5,136,23000,задний,Левый,Не требует ремонта,1,Оригинал,1850000,2 серия,0,1,1,63.013698630136986
43,avto4634,0,хэтчбек,белый,бензин,5,2019,автоматическая,1.5,136,6700,задний,Левый,Не требует ремонта,1,Оригинал,1550000,1 серия,2,1,1,18.356164383561644
44,avto5004,0,хэтчбек,цветной,бензин,5,2019,автоматическая,1.5,136,10358,задний,Левый,Не требует ремонта,1,Оригинал,1799000,1 серия,2,1,1,28.378082191780823
45,avto2536,0,хэтчбек,белый,бензин,5,2012,автоматическая,1.6,136,24500,задний,Левый,Не требует ремонта,1,Оригинал,850000,1 серия,2,0,8,8.39041095890411
46,avto2299,0,хэтчбек,чёрный,бензин,3,2013,автоматическая,1.6,136,89360,задний,Левый,Не требует ремонта,1,Оригинал,789000,1 серия,2,0,7,34.974559686888455
47,avto2441,0,хэтчбек,чёрный,бензин,3,2013,автоматическая,1.6,136,82500,задний,Левый,Не требует ремонта,1,Оригинал,820000,1 серия,2,0,7,32.28962818003914
48,avto2145,0,хэтчбек,красный,бензин,5,2013,автоматическая,1.6,136,96864,задний,Левый,Не требует ремонта,1,Оригинал,747000,1 серия,2,0,7,37.91154598825832
49,avto2298,0,хэтчбек,цветной,бензин,5,2013,автоматическая,1.6,136,116000,задний,Левый,Не требует ремонта,1,Оригинал,788000,1 серия,2,0,7,45.40117416829746
50,avto2484,0,хэтчбек,белый,бензин,5,2013,автоматическая,1.6,136,53847,задний,Левый,Не требует ремонта,1,Оригинал,833000,1 серия,2,0,7,21.075146771037183
51,avto2642,0,седан,коричневый,бензин,4,2014,автоматическая,1.6,136,128272,задний,Левый,Не требует ремонта,1,Оригинал,875000,3 серия,6,0,6,58.571689497716896
52,avto2900,0,седан,чёрный,бензин,4,2014,автоматическая,1.6,136,125000,задний,Левый,Не требует ремонта,1,Дубликат,950000,3 серия,6,0,6,57.077625570776256
53,avto3684,0,седан,чёрный,бензин,4,2014,автоматическая,1.6,136,58814,задний,Левый,Не требует ремонта,1,Оригинал,1189000,3 серия,6,0,6,26.855707762557078
54,avto3904,0,седан,коричневый,бензин,4,2014,автоматическая,1.6,136,114000,задний,Левый,Не требует ремонта,1,Оригинал,1250000,3 серия,6,0,6,52.054794520547944
55,avto4023,0,седан,красный,бензин,4,2014,автоматическая,1.6,136,37554,задний,Левый,Не требует ремонта,1,Оригинал,1297000,3 серия,6,0,6,17.147945205479452
56,avto2723,0,хэтчбек,коричневый,бензин,5,2014,автоматическая,1.6,136,55222,задний,Левый,Не требует ремонта,1,Оригинал,899000,1 серия,2,0,6,25.215525114155252
57,avto1417,0,седан,цветной,бензин,4,2010,автоматическая,2.0,136,175000,задний,Левый,Не требует ремонта,1,Оригинал,560000,3 серия,5,1,10,47.945205479452056
58,avto2844,0,седан,чёрный,бензин,4,2010,автоматическая,2.0,136,45000,задний,Левый,Не требует ремонта,1,Дубликат,930000,3 серия,5,1,10,12.32876712328767
59,avto1682,0,седан,белый,бензин,4,2011,автоматическая,2.0,136,192000,задний,Левый,Не требует ремонта,1,Оригинал,630000,3 серия,5,1,9,58.44748858447488
60,avto1684,0,седан,чёрный,бензин,4,2011,автоматическая,2.0,136,200000,задний,Левый,Не требует ремонта,1,Оригинал,630000,3 серия,5,1,9,60.882800608828006
61,avto1735,0,седан,коричневый,бензин,4,2011,автоматическая,2.0,136,92000,задний,Левый,Не требует ремонта,1,Оригинал,647000,3 серия,5,1,9,28.006088280060883
62,avto2168,0,седан,белый,бензин,4,2011,автоматическая,2.0,136,138000,задний,Левый,Не требует ремонта,1,Оригинал,750000,3 серия,5,1,9,42.009132420091326
63,avto2450,0,седан,золотистый,бензин,4,2011,автоматическая,2.0,136,116000,задний,Левый,Не требует ремонта,1,Оригинал,820000,3 серия,5,1,9,35.31202435312024
64,avto4813,0,внедорожник,белый,бензин,5,2017,роботизированная,1.5,140,38623,передний,Левый,Не требует ремонта,1,Оригинал,1650000,X1,2,0,3,35.27214611872146
65,avto4387,0,внедорожник,цветной,бензин,5,2018,роботизированная,1.5,140,12169,передний,Левый,Не требует ремонта,1,Оригинал,1427000,X1,2,0,2,16.66986301369863
66,avto4832,0,внедорожник,коричневый,бензин,5,2018,роботизированная,1.5,140,21873,передний,Левый,Не требует ремонта,1,Оригинал,1679000,X1,2,0,2,29.96301369863014
67,avto4884,0,внедорожник,цветной,бензин,5,2018,роботизированная,1.5,140,10000,передний,Левый,Не требует ремонта,1,Оригинал,1700000,X2,1,0,2,13.698630136986301
68,avto4912,0,внедорожник,чёрный,бензин,5,2018,роботизированная,1.5,140,46393,передний,Левый,Не требует ремонта,1,Оригинал,1707000,X2,1,0,2,63.55205479452055
69,avto4927,0,внедорожник,белый,бензин,5,2018,роботизированная,1.5,140,39000,передний,Левый,Не требует ремонта,1,Оригинал,1730000,X2,1,0,2,53.42465753424658
70,avto5067,0,внедорожник,белый,бензин,5,2019,роботизированная,1.5,140,17606,передний,Левый,Не требует ремонта,1,Оригинал,1842000,X2,1,0,1,48.23561643835617
71,avto5151,0,внедорожник,чёрный,бензин,5,2019,роботизированная,1.5,140,7100,передний,Левый,Не требует ремонта,1,Оригинал,1900000,X2,1,0,1,19.45205479452055
72,avto4804,0,компактвэн,белый,бензин,5,2019,роботизированная,1.5,140,11000,передний,Левый,Не требует ремонта,1,Оригинал,1650000,2 серия Active Tourer,0,1,1,30.136986301369863
73,avto5466,0,седан,цветной,бензин,4,2020,роботизированная,1.5,140,818,передний,Левый,Не требует ремонта,1,Оригинал,2259000,2 серия,0,0,0,6.816666666666666
74,avto5481,0,седан,цветной,бензин,4,2020,роботизированная,1.5,140,200,передний,Левый,Не требует ремонта,1,Оригинал,2290001,2 серия,0,0,0,1.6666666666666667
75,avto5214,0,внедорожник,белый,бензин,5,2020,роботизированная,1.5,140,452,передний,Левый,Не требует ремонта,1,Оригинал,1975000,X2,1,0,0,3.7666666666666666
76,avto448,0,седан,серебристый,бензин,4,2003,механическая,2.0,143,357000,задний,Левый,Не требует ремонта,1,Оригинал,300000,3 серия,4,1,17,57.534246575342465
77,avto1015,0,универсал,чёрный,бензин,5,2008,автоматическая,2.0,143,209000,задний,Левый,Не требует ремонта,1,Оригинал,475000,3 серия,5,1,12,47.71689497716895
78,avto705,0,седан,цветной,дизель,4,1992,механическая,2.5,143,10000,задний,Левый,Не требует ремонта,1,Оригинал,400000,5 серия,3,0,28,0.9784735812133072
79,avto2018,0,седан,цветной,бензин,4,1992,механическая,2.0,150,72000,задний,Левый,Не требует ремонта,1,Оригинал,700000,5 серия,3,0,28,7.045009784735812
80,avto260,0,седан,серый,бензин,4,1993,механическая,2.0,150,343000,задний,Левый,Не требует ремонта,1,Дубликат,220000,5 серия,3,0,27,34.80466768138001
81,avto648,0,универсал,красный,бензин,5,1993,автоматическая,2.0,150,199000,задний,Левый,Не требует ремонта,1,Оригинал,379999,5 серия,3,0,27,20.19279553526129
82,avto666,0,седан,чёрный,бензин,4,1999,механическая,2.0,150,175137,задний,Левый,Не требует ремонта,1,Оригинал,380000,3 серия,4,0,21,22.848923679060665
83,avto673,0,седан,серебристый,бензин,4,2000,механическая,2.0,150,356682,задний,Левый,Не требует ремонта,1,Дубликат,385000,3 серия,4,0,20,48.86054794520548
84,avto3151,0,седан,серебристый,бензин,4,2005,автоматическая,2.0,150,30000,задний,Левый,Не требует ремонта,1,Оригинал,1000000,3 серия,5,0,15,5.47945205479452
85,avto1672,0,универсал,цветной,дизель,5,2006,автоматическая,2.0,150,368161,задний,Левый,Не требует ремонта,1,Оригинал,627000,5 серия,5,0,14,72.04716242661448
86,avto1223,0,седан,чёрный,бензин,4,2007,автоматическая,2.0,150,229783,задний,Левый,Не требует ремонта,1,Оригинал,517000,3 серия,5,0,13,48.4263435194942
87,avto1489,0,седан,цветной,дизель,4,2007,автоматическая,2.0,150,193000,задний,Левый,Не требует ремонта,1,Оригинал,585000,5 серия,5,1,13,40.67439409905163
88,avto1952,0,внедорожник,цветной,бензин,5,2011,автоматическая,2.0,150,140268,задний,Левый,Не требует ремонта,1,Оригинал,699000,X1,1,0,9,42.699543378995436
89,avto2065,0,внедорожник,коричневый,бензин,5,2011,автоматическая,2.0,150,81750,задний,Левый,Не требует ремонта,1,Оригинал,715000,X1,1,0,9,24.885844748858446
90,avto2138,0,внедорожник,коричневый,бензин,5,2012,автоматическая,2.0,150,130000,задний,Левый,Не требует ремонта,1,Оригинал,740000,X1,1,0,8,44.52054794520548
91,avto2228,0,внедорожник,цветной,бензин,5,2013,автоматическая,2.0,150,182000,задний,Левый,Не требует ремонта,1,Оригинал,750000,X1,1,1,7,71.23287671232876
92,avto2326,0,внедорожник,коричневый,бензин,5,2013,автоматическая,2.0,150,21665,задний,Левый,Не требует ремонта,1,Оригинал,793000,X1,1,1,7,8.479452054794521
93,avto2649,0,внедорожник,белый,бензин,5,2013,автоматическая,2.0,150,45299,задний,Левый,Не требует ремонта,1,Оригинал,879000,X1,1,1,7,17.72954990215264
94,avto2962,0,внедорожник,цветной,бензин,5,2013,автоматическая,2.0,150,72000,задний,Левый,Не требует ремонта,1,Оригинал,950000,X1,1,1,7,28.180039138943247
95,avto3128,0,внедорожник,цветной,бензин,5,2013,автоматическая,2.0,150,46000,задний,Левый,Не требует ремонта,1,Оригинал,999999,X1,1,1,7,18.003913894324853
96,avto3751,0,внедорожник,белый,бензин,5,2013,автоматическая,2.0,150,66037,задний,Левый,Не требует ремонта,1,Оригинал,1200000,X1,1,1,7,25.846183953033268
97,avto2603,0,внедорожник,коричневый,бензин,5,2014,автоматическая,2.0,150,124089,задний,Левый,Не требует ремонта,1,Оригинал,851000,X1,1,1,6,56.66164383561644
98,avto3435,0,универсал,серый,дизель,5,2015,механическая,2.0,150,189000,задний,Левый,Не требует ремонта,1,Оригинал,1100000,3 серия,6,1,5,103.56164383561644
99,avto4727,0,внедорожник,чёрный,дизель,5,2016,автоматическая,2.0,150,45500,полный,Левый,Не требует ремонта,1,Оригинал,1600000,X1,2,0,4,31.164383561643834
100,avto4825,0,внедорожник,коричневый,дизель,5,2016,автоматическая,2.0,150,77100,полный,Левый,Не требует ремонта,1,Оригинал,1670000,X1,2,0,4,52.80821917808219
101,avto5169,0,внедорожник,коричневый,дизель,5,2016,автоматическая,2.0,150,12588,полный,Левый,Не требует ремонта,1,Оригинал,1927000,X1,2,0,4,8.621917808219179
102,avto4541,0,компактвэн,цветной,дизель,5,2016,автоматическая,2.0,150,43000,передний,Правый,Не требует ремонта,1,Оригинал,1500000,2 серия Grand Tourer,0,0,4,29.45205479452055
103,avto4828,0,внедорожник,белый,дизель,5,2017,автоматическая,2.0,150,39150,полный,Левый,Не требует ремонта,1,Оригинал,1670000,X1,2,0,3,35.75342465753425
104,avto4970,0,внедорожник,белый,дизель,5,2017,автоматическая,2.0,150,63980,полный,Левый,Не требует ремонта,1,Оригинал,1757000,X1,2,0,3,58.42922374429224
105,avto4999,0,внедорожник,чёрный,дизель,5,2017,автоматическая,2.0,150,22192,полный,Левый,Не требует ремонта,1,Оригинал,1795000,X1,2,0,3,20.266666666666666
106,avto5068,0,внедорожник,коричневый,дизель,5,2017,автоматическая,2.0,150,41865,полный,Левый,Не требует ремонта,1,Оригинал,1843000,X1,2,0,3,38.23287671232877
107,avto5111,0,внедорожник,чёрный,дизель,5,2017,автоматическая,2.0,150,28247,полный,Левый,Не требует ремонта,1,Оригинал,1870000,X1,2,0,3,25.79634703196347
108,avto5261,0,внедорожник,белый,дизель,5,2018,автоматическая,2.0,150,23000,полный,Левый,Не требует ремонта,1,Оригинал,2000000,X1,2,0,2,31.506849315068493
109,avto5292,0,внедорожник,белый,дизель,5,2018,автоматическая,2.0,150,3800,полный,Левый,Не требует ремонта,1,Оригинал,2040000,X1,2,0,2,5.205479452054795
110,avto5251,0,внедорожник,белый,дизель,5,2019,автоматическая,2.0,150,23360,полный,Левый,Не требует ремонта,1,Оригинал,2000000,X1,2,0,1,64.0
111,avto5362,0,внедорожник,чёрный,дизель,5,2019,автоматическая,2.0,150,13166,полный,Левый,Не требует ремонта,1,Оригинал,2120000,X1,2,0,1,36.07123287671233
112,avto5534,0,внедорожник,белый,дизель,5,2019,автоматическая,2.0,150,2570,полный,Левый,Не требует ремонта,1,Оригинал,2380000,X1,2,0,1,7.041095890410959
113,avto5607,0,внедорожник,чёрный,дизель,5,2019,автоматическая,2.0,150,18155,полный,Левый,Не требует ремонта,1,Оригинал,2490000,X2,1,0,1,49.73972602739726
114,avto5638,0,внедорожник,цветной,дизель,5,2020,автоматическая,2.0,150,13,полный,Левый,Не требует ремонта,1,Оригинал,2509908,X2,1,0,0,0.10833333333333334
115,avto1146,0,седан,чёрный,бензин,4,2007,автоматическая,2.0,156,212000,задний,Левый,Не требует ремонта,1,Оригинал,500000,5 серия,5,1,13,44.67860906217071
116,avto1569,0,седан,цветной,бензин,4,2008,автоматическая,2.0,156,228000,задний,Левый,Не требует ремонта,1,Оригинал,600000,5 серия,5,1,12,52.054794520547944
117,avto1014,0,седан,чёрный,бензин,4,2009,автоматическая,2.0,156,250000,задний,Левый,Не требует ремонта,1,Оригинал,475000,3 серия,5,1,11,62.266500622665006
118,avto1765,0,седан,цветной,бензин,4,2011,автоматическая,2.0,156,250000,задний,Левый,Не требует ремонта,1,Оригинал,650000,3 серия,5,1,9,76.10350076103501
119,avto1808,0,седан,серый,бензин,4,2011,автоматическая,2.0,156,87000,задний,Левый,Не требует ремонта,1,Оригинал,650000,3 серия,5,1,9,26.484018264840184
120,avto2505,0,седан,серый,бензин,4,2011,автоматическая,2.0,156,75000,задний,Левый,Не требует ремонта,1,Оригинал,845000,3 серия,5,1,9,22.831050228310502
121,avto4197,0,кабриолет,цветной,бензин,2,2013,автоматическая,2.0,156,55000,задний,Левый,Не требует ремонта,1,Оригинал,1350000,3 серия,5,1,7,21.52641878669276
122,avto4571,0,кабриолет,белый,бензин,2,2013,автоматическая,2.0,156,100126,задний,Левый,Не требует ремонта,1,Оригинал,1500000,3 серия,5,1,7,39.18825831702544
123,avto5051,0,хэтчбек,серый,гибрид,5,2016,автоматическая,0.7,170,45053,задний,Левый,Не требует ремонта,1,Оригинал,1820000,i3,1,0,4,30.85821917808219
124,avto5241,0,хэтчбек,белый,гибрид,5,2016,автоматическая,0.7,170,41850,задний,Левый,Не требует ремонта,1,Оригинал,1999000,i3,1,0,4,28.664383561643834
125,avto1388,0,седан,серый,бензин,4,2007,механическая,2.0,170,263000,задний,Левый,Не требует ремонта,1,Оригинал,550000,3 серия,5,0,13,55.42676501580611
126,avto762,0,седан,серебристый,бензин,4,2003,автоматическая,2.2,170,230000,задний,Левый,Не требует ремонта,1,Дубликат,410000,5 серия,4,1,17,37.0668815471394
127,avto554,0,седан,золотистый,бензин,4,2003,механическая,2.2,170,230000,задний,Левый,Не требует ремонта,1,Оригинал,350000,3 серия,4,1,17,37.0668815471394
128,avto2154,0,седан,серебристый,дизель,4,2008,автоматическая,2.0,177,139219,задний,Левый,Не требует ремонта,1,Оригинал,750000,3 серия,5,0,12,31.785159817351598
129,avto2037,0,внедорожник,чёрный,дизель,5,2008,автоматическая,2.0,177,163000,полный,Левый,Не требует ремонта,1,Оригинал,709000,X3,1,1,12,37.21461187214612
130,avto1527,0,внедорожник,серебристый,дизель,5,2009,автоматическая,2.0,177,155886,полный,Левый,Не требует ремонта,1,Оригинал,595000,X3,1,1,11,38.82590286425903
131,avto2126,0,внедорожник,серый,дизель,5,2009,автоматическая,2.0,177,128000,полный,Левый,Не требует ремонта,1,Оригинал,735000,X3,1,1,11,31.880448318804483
132,avto2262,0,внедорожник,серый,дизель,5,2010,автоматическая,2.0,177,132000,полный,Левый,Не требует ремонта,1,Оригинал,770000,X3,1,1,10,36.16438356164384
133,avto2021,0,внедорожник,цветной,дизель,5,2010,автоматическая,2.0,177,225000,полный,Левый,Не требует ремонта,1,Оригинал,700000,X1,1,0,10,61.64383561643836
134,avto2331,0,внедорожник,цветной,дизель,5,2012,автоматическая,2.0,177,169000,полный,Левый,Не требует ремонта,1,Оригинал,795000,X1,1,0,8,57.87671232876713
135,avto1394,0,седан,чёрный,дизель,4,2004,механическая,2.5,177,550000,задний,Левый,Не требует ремонта,1,Оригинал,550000,5 серия,5,0,16,94.17808219178082
136,avto3047,0,седан,чёрный,дизель,4,2010,механическая,2.0,184,215000,задний,Левый,Не требует ремонта,1,Оригинал,980000,5 серия,6,0,10,58.9041095890411
137,avto4073,0,внедорожник,серый,дизель,5,2010,автоматическая,2.0,184,126200,полный,Левый,Не требует ремонта,1,Оригинал,1300000,X3,2,0,10,34.57534246575342
138,avto3297,0,седан,серый,дизель,4,2011,автоматическая,2.0,184,170000,задний,Левый,Не требует ремонта,1,Оригинал,1050000,5 серия,6,0,9,51.75038051750381
139,avto4162,0,седан,белый,дизель,4,2011,автоматическая,2.0,184,168400,задний,Левый,Не требует ремонта,1,Оригинал,1349999,3 серия,6,0,9,51.26331811263318
140,avto3092,0,внедорожник,чёрный,дизель,5,2011,автоматическая,2.0,184,177553,полный,Левый,Не требует ремонта,1,Оригинал,990000,X3,2,0,9,54.0496194824962
141,avto3406,0,внедорожник,чёрный,дизель,5,2011,автоматическая,2.0,184,99625,полный,Левый,Не требует ремонта,1,Оригинал,1099000,X3,2,0,9,30.32724505327245
142,avto3453,0,внедорожник,цветной,дизель,5,2011,автоматическая,2.0,184,121819,полный,Левый,Не требует ремонта,1,Оригинал,1100000,X3,2,0,9,37.083409436834096
143,avto3579,0,внедорожник,цветной,дизель,5,2011,автоматическая,2.0,184,149600,полный,Левый,Не требует ремонта,1,Оригинал,1150000,X3,2,0,9,45.54033485540335
144,avto3833,0,внедорожник,чёрный,дизель,5,2011,автоматическая,2.0,184,108756,полный,Левый,Не требует ремонта,1,Оригинал,1224000,X3,2,0,9,33.106849315068494
145,avto3855,0,внедорожник,чёрный,дизель,5,2011,автоматическая,2.0,184,126314,полный,Левый,Не требует ремонта,1,Оригинал,1244000,X3,2,0,9,38.4517503805175
146,avto2309,0,хэтчбек,белый,дизель,5,2011,автоматическая,2.0,184,97300,задний,Левый,Не требует ремонта,1,Оригинал,790000,1 серия,2,0,9,29.619482496194824
147,avto2801,0,седан,чёрный,дизель,4,2012,автоматическая,2.0,184,268000,задний,Левый,Не требует ремонта,1,Оригинал,910000,5 серия,6,0,8,91.78082191780823
148,avto3243,0,седан,цветной,дизель,4,2012,автоматическая,2.0,184,123661,задний,Левый,Не требует ремонта,1,Оригинал,1037000,5 серия,6,0,8,42.349657534246575
149,avto2059,0,седан,чёрный,бензин,4,2012,автоматическая,2.0,184,293325,задний,Левый,Не требует ремонта,1,Оригинал,714000,5 серия,6,0,8,100.45376712328768
150,avto2248,0,седан,чёрный,бензин,4,2012,автоматическая,2.0,184,248635,задний,Левый,Не требует ремонта,1,Оригинал,762000,5 серия,6,0,8,85.14897260273973
151,avto2546,0,седан,чёрный,бензин,4,2012,автоматическая,2.0,184,162000,задний,Левый,Не требует ремонта,1,Оригинал,850000,5 серия,6,0,8,55.47945205479452
152,avto2704,0,седан,чёрный,бензин,4,2012,автоматическая,2.0,184,188000,задний,Левый,Не требует ремонта,1,Оригинал,899000,5 серия,6,0,8,64.38356164383562
153,avto2914,0,седан,чёрный,бензин,4,2012,автоматическая,2.0,184,167000,задний,Левый,Не требует ремонта,1,Оригинал,950000,5 серия,6,0,8,57.19178082191781
154,avto2937,0,седан,белый,бензин,4,2012,автоматическая,2.0,184,140000,задний,Левый,Не требует ремонта,1,Оригинал,950000,5 серия,6,0,8,47.945205479452056
155,avto3313,0,седан,чёрный,бензин,4,2012,автоматическая,2.0,184,127251,задний,Левый,Не требует ремонта,1,Оригинал,1050000,5 серия,6,0,8,43.579109589041096
156,avto3531,0,седан,серый,дизель,4,2012,автоматическая,2.0,184,180000,задний,Левый,Не требует ремонта,1,Оригинал,1130000,3 серия,6,0,8,61.64383561643836
157,avto3532,0,седан,серый,дизель,4,2012,автоматическая,2.0,184,180000,задний,Левый,Не требует ремонта,1,Оригинал,1130000,3 серия,6,0,8,61.64383561643836
