,test,style,body,color,fuel,doors,production_date,transmission,engine_displacement,engine_power,mileage,drive_type,wheel,owners,price
47,1,530i,седан,серебристый,бензин,4,2006,автоматическая,3.0,258.0,158000.0,задний,Левый,3.0,0.0
48,1,528i,седан,бежевый,бензин,4,2010,автоматическая,3.0,258.0,174830.0,задний,Левый,2.0,0.0
49,1,320d xDrive,седан,чёрный,дизель,4,2014,автоматическая,2.0,184.0,98700.0,полный,Левый,2.0,0.0
50,1,30d,внедорожник,чёрный,дизель,5,2019,автоматическая,3.0,249.0,7566.0,полный,Левый,1.0,0.0
51,1,30d,внедорожник,коричневый,дизель,5,2011,автоматическая,3.0,245.0,149746.0,полный,Левый,2.0,0.0
52,1,320i xDrive,седан,оранжевый,бензин,4,2018,автоматическая,2.0,184.0,58508.0,полный,Левый,1.0,0.0
53,1,20d xDrive,внедорожник,синий,дизель,5,2018,автоматическая,2.0,190.0,15500.0,полный,Левый,1.0,0.0
54,1,530d xDrive,лифтбек,серый,дизель,5,2010,автоматическая,3.0,245.0,77000.0,полный,Левый,2.0,0.0
55,1,30d,внедорожник,белый,дизель,5,2013,автоматическая,3.0,249.0,80199.0,полный,Левый,1.0,0.0
56,1,116i,хэтчбек,белый,бензин,5,2011,автоматическая,1.6,115.0,72049.0,задний,Левый,3.0,0.0
57,1,320i,седан,серебристый,бензин,4,2013,автоматическая,2.0,184.0,124000.0,задний,Левый,3.0,0.0
58,1,528i xDrive,седан,синий,бензин,4,2012,автоматическая,2.0,245.0,140000.0,полный,Левый,3.0,0.0
59,1,20d xDrive,внедорожник,синий,дизель,5,2019,автоматическая,2.0,190.0,7911.0,полный,Левый,1.0,0.0
60,1,3.0i,внедорожник,чёрный,бензин,5,2002,автоматическая,3.0,231.0,320000.0,полный,Левый,2.0,0.0
61,1,325i,седан,голубой,бензин,4,2005,автоматическая,2.5,218.0,230000.0,задний,Левый,3.0,0.0
62,1,320d xDrive,лифтбек,чёрный,дизель,5,2014,автоматическая,2.0,184.0,135000.0,полный,Левый,2.0,0.0
63,1,30i,внедорожник,чёрный,бензин,5,2004,автоматическая,3.0,231.0,345000.0,полный,Левый,3.0,0.0
64,1,30d xDrive,внедорожник,белый,дизель,5,2019,автоматическая,3.0,249.0,2969.0,полный,Левый,1.0,0.0
65,1,118i,хэтчбек,серебристый,бензин,5,2007,автоматическая,2.0,136.0,177000.0,задний,Левый,1.0,0.0
66,1,28i xDrive,внедорожник,белый,бензин,5,2013,автоматическая,2.0,245.0,70000.0,полный,Левый,3.0,0.0
67,1,40i,внедорожник,белый,бензин,5,2018,автоматическая,3.0,340.0,16000.0,полный,Левый,1.0,0.0
68,1,325i,купе,чёрный,бензин,2,2001,механическая,2.5,192.0,276902.0,задний,Левый,3.0,0.0
69,1,M760Li xDrive,седан,серый,бензин,4,2017,автоматическая,6.6,610.0,35000.0,полный,Левый,2.0,0.0
70,1,116i,хэтчбек,чёрный,бензин,5,2012,автоматическая,1.6,136.0,122000.0,задний,Левый,2.0,0.0
71,1,3.0si,внедорожник,синий,бензин,5,2007,автоматическая,3.0,264.0,140000.0,полный,Левый,3.0,0.0
72,1,528i xDrive,седан,белый,бензин,4,2012,автоматическая,2.0,245.0,135000.0,полный,Левый,2.0,0.0
73,1,320i xDrive,лифтбек,синий,бензин,5,2016,автоматическая,2.0,184.0,53830.0,полный,Левый,2.0,0.0
74,1,320d xDrive,седан,чёрный,дизель,4,2013,автоматическая,2.0,184.0,101779.0,полный,Левый,3.0,0.0
75,1,530i xDrive,седан,чёрный,бензин,4,2018,автоматическая,2.0,249.0,42567.0,полный,Левый,2.0,0.0
77,1,528i xDrive,седан,коричневый,бензин,4,2015,автоматическая,2.0,245.0,62013.0,полный,Левый,2.0,0.0
78,1,20d,внедорожник,белый,дизель,5,2019,автоматическая,2.0,190.0,4300.0,полный,Левый,1.0,0.0
79,1,40d,внедорожник,чёрный,дизель,5,2016,автоматическая,3.0,313.0,39000.0,полный,Левый,2.0,0.0
80,1,20d xDrive,внедорожник,белый,дизель,5,2016,автоматическая,2.0,190.0,29615.0,полный,Левый,1.0,0.0
81,1,530i xDrive,седан,белый,бензин,4,2018,автоматическая,2.0,249.0,9000.0,полный,Левый,1.0,0.0
82,1,4.8i,внедорожник,белый,бензин,5,2008,автоматическая,4.8,355.0,169000.0,полный,Левый,3.0,0.0
83,1,530d xDrive,лифтбек,чёрный,дизель,5,2012,автоматическая,3.0,258.0,128300.0,полный,Левый,3.0,0.0
84,1,530i,седан,серый,бензин,4,2008,автоматическая,3.0,272.0,240000.0,задний,Левый,1.0,0.0
85,1,116i,хэтчбек,белый,бензин,5,2011,автоматическая,1.6,115.0,106000.0,задний,Левый,3.0,0.0
86,1,328i,седан,красный,бензин,4,2011,автоматическая,2.0,245.0,147000.0,задний,Левый,2.0,0.0
87,1,30d,внедорожник,чёрный,дизель,5,2016,автоматическая,3.0,249.0,181000.0,полный,Левый,1.0,0.0
88,1,35i xDrive,внедорожник,белый,бензин,5,2013,автоматическая,3.0,306.0,87458.0,полный,Левый,1.0,0.0
89,1,535d,седан,серый,дизель,4,2004,автоматическая,3.0,272.0,279000.0,задний,Левый,3.0,0.0
90,1,35i,внедорожник,белый,бензин,5,2010,автоматическая,3.0,306.0,160000.0,полный,Левый,3.0,0.0
91,1,730d,седан,серый,дизель,4,2009,автоматическая,3.0,245.0,156141.0,задний,Левый,1.0,0.0
92,1,116i,хэтчбек,белый,бензин,5,2012,автоматическая,1.6,136.0,101000.0,задний,Левый,2.0,0.0
93,1,420i,купе,синий,бензин,2,2014,автоматическая,2.0,184.0,12976.0,задний,Левый,1.0,0.0
94,1,35i,внедорожник,белый,бензин,5,2009,автоматическая,3.0,306.0,164300.0,полный,Левый,2.0,0.0
95,1,320i xDrive,седан,синий,бензин,4,2012,автоматическая,2.0,184.0,54000.0,полный,Левый,2.0,0.0
96,1,525i,седан,пурпурный,бензин,4,2009,автоматическая,2.5,218.0,140000.0,задний,Левый,3.0,0.0
97,1,320d xDrive,седан,чёрный,дизель,4,2014,автоматическая,2.0,184.0,163000.0,полный,Левый,2.0,0.0
98,1,530d xDrive,седан,чёрный,дизель,4,2018,автоматическая,3.0,249.0,34504.0,полный,Левый,1.0,0.0
99,1,M50d,внедорожник,белый,дизель,5,2012,автоматическая,3.0,381.0,108703.0,полный,Левый,1.0,0.0
100,1,528i xDrive,седан,чёрный,бензин,4,2013,автоматическая,2.0,245.0,98670.0,полный,Левый,3.0,0.0
101,1,48i,внедорожник,синий,бензин,5,2007,автоматическая,4.8,355.0,105000.0,полный,Левый,1.0,0.0
102,1,750i xDrive,седан,чёрный,бензин,4,2017,автоматическая,4.4,450.0,22894.0,полный,Левый,2.0,0.0
103,1,120i,хэтчбек,синий,бензин,3,2007,автоматическая,2.0,156.0,177000.0,задний,Левый,3.0,0.0
104,1,20d,внедорожник,чёрный,дизель,5,2012,автоматическая,2.0,184.0,186021.0,полный,Левый,1.0,0.0
105,1,330i,купе,жёлтый,бензин,2,2001,механическая,3.0,231.0,250000.0,задний,Левый,3.0,0.0
106,1,120d,хэтчбек,белый,дизель,5,2018,автоматическая,2.0,190.0,5738.0,задний,Левый,1.0,0.0
107,1,35i,внедорожник,чёрный,бензин,5,2012,автоматическая,3.0,306.0,58384.0,полный,Левый,2.0,0.0
109,1,318i,седан,чёрный,бензин,4,2016,автоматическая,1.5,136.0,66876.0,задний,Левый,1.0,0.0
110,1,28i xDrive,внедорожник,белый,бензин,5,2013,автоматическая,2.0,245.0,113000.0,полный,Левый,3.0,0.0
111,1,725Ld xDrive,седан,чёрный,дизель,4,2017,автоматическая,2.0,231.0,95000.0,полный,Левый,1.0,0.0
112,1,760Li,седан,серебристый,бензин,4,2003,автоматическая,6.0,445.0,178418.0,задний,Левый,3.0,0.0
113,1,730d xDrive,седан,серый,дизель,4,2019,автоматическая,3.0,249.0,4136.0,полный,Левый,1.0,0.0
114,1,M50d,внедорожник,серый,дизель,5,2019,автоматическая,3.0,400.0,663.0,полный,Левый,1.0,0.0
115,1,520d,седан,чёрный,дизель,4,2017,автоматическая,2.0,190.0,44451.0,задний,Левый,2.0,0.0
116,1,35i,внедорожник,чёрный,бензин,5,2010,автоматическая,3.0,306.0,163000.0,полный,Левый,3.0,0.0
117,1,35i,внедорожник,зелёный,бензин,5,2008,автоматическая,3.0,306.0,133700.0,полный,Левый,3.0,0.0
118,1,730Ld xDrive,седан,чёрный,дизель,4,2017,автоматическая,3.0,249.0,3307.0,полный,Левый,1.0,0.0
119,1,320i xDrive,седан,чёрный,бензин,4,2014,автоматическая,2.0,184.0,85000.0,полный,Левый,3.0,0.0
120,1,840d xDrive,купе,синий,дизель,2,2018,автоматическая,3.0,320.0,7600.0,полный,Левый,2.0,0.0
121,1,35i,внедорожник,белый,бензин,5,2017,автоматическая,3.0,306.0,28000.0,полный,Левый,2.0,0.0
122,1,320i,седан,синий,бензин,4,2016,автоматическая,2.0,184.0,120363.0,задний,Левый,3.0,0.0
123,1,20i xDrive,внедорожник,чёрный,бензин,5,2014,автоматическая,2.0,184.0,55116.0,полный,Левый,1.0,0.0
124,1,35i,внедорожник,чёрный,бензин,5,2012,автоматическая,3.0,306.0,81000.0,полный,Левый,2.0,0.0
125,1,30d,внедорожник,голубой,дизель,5,2018,автоматическая,3.0,249.0,30000.0,полный,Левый,1.0,0.0
126,1,530i,седан,чёрный,бензин,4,2003,автоматическая,3.0,231.0,157000.0,задний,Левый,2.0,0.0
127,1,20d xDrive,внедорожник,белый,дизель,5,2014,автоматическая,2.0,184.0,132000.0,полный,Левый,2.0,0.0
128,1,420d xDrive,купе,белый,дизель,2,2019,автоматическая,2.0,190.0,555.0,полный,Левый,1.0,0.0
129,1,28i xDrive,внедорожник,серый,бензин,5,2014,автоматическая,2.0,245.0,90154.0,полный,Левый,2.0,0.0
130,1,30d,внедорожник,белый,дизель,5,2019,автоматическая,3.0,249.0,10000.0,полный,Левый,1.0,0.0
131,1,3.0si,внедорожник,чёрный,бензин,5,2007,автоматическая,3.0,264.0,248000.0,полный,Левый,3.0,0.0
132,1,30d,внедорожник,серый,дизель,5,2011,автоматическая,3.0,245.0,170600.0,полный,Левый,2.0,0.0
133,1,118i,хэтчбек,белый,бензин,5,2019,автоматическая,1.5,136.0,21000.0,задний,Левый,1.0,0.0
134,1,35i,внедорожник,белый,бензин,5,2012,автоматическая,3.0,306.0,115000.0,полный,Левый,2.0,0.0
135,1,328i,седан,белый,бензин,4,2012,автоматическая,2.0,245.0,93000.0,задний,Левый,3.0,0.0
136,1,520d xDrive,седан,чёрный,дизель,4,2018,автоматическая,2.0,190.0,38000.0,полный,Левый,1.0,0.0
137,1,320d xDrive,седан,белый,дизель,4,2019,автоматическая,2.0,190.0,5300.0,полный,Левый,1.0,0.0
138,1,520d,седан,чёрный,дизель,4,2018,автоматическая,2.0,190.0,67000.0,задний,Левый,1.0,0.0
139,1,320i,седан,чёрный,бензин,4,2012,автоматическая,2.0,184.0,120000.0,задний,Левый,2.0,0.0
140,1,30d,внедорожник,синий,дизель,5,2011,автоматическая,3.0,245.0,170000.0,полный,Левый,3.0,0.0
141,1,520i,седан,белый,бензин,4,2013,автоматическая,2.0,184.0,110000.0,задний,Левый,3.0,0.0
142,1,35i,внедорожник,синий,бензин,5,2012,автоматическая,3.0,306.0,94000.0,полный,Левый,2.0,0.0
143,1,3.0si,внедорожник,серый,бензин,5,2007,автоматическая,3.0,272.0,213117.0,полный,Левый,3.0,0.0
144,1,28i xDrive,внедорожник,синий,бензин,5,2013,автоматическая,2.0,245.0,96454.0,полный,Левый,1.0,0.0
145,1,318i,универсал,серебристый,бензин,5,1997,механическая,1.8,115.0,300000.0,задний,Левый,3.0,0.0
146,1,35i,внедорожник,чёрный,бензин,5,2015,автоматическая,3.0,306.0,97455.0,полный,Левый,3.0,0.0
147,1,520i,седан,синий,бензин,4,2015,автоматическая,2.0,184.0,84768.0,задний,Левый,2.0,0.0
148,1,30d,внедорожник,чёрный,дизель,5,2019,автоматическая,3.0,249.0,10718.0,полный,Левый,1.0,0.0
149,1,30d,внедорожник,коричневый,дизель,5,2015,автоматическая,3.0,249.0,82993.0,полный,Левый,1.0,0.0
150,1,M850i xDrive,купе,синий,бензин,2,2018,автоматическая,4.4,530.0,10000.0,полный,Левый,1.0,0.0
151,1,M50d,внедорожник,чёрный,дизель,5,2015,автоматическая,3.0,381.0,116572.0,полный,Левый,2.0,0.0
152,1,335i xDrive,седан,красный,бензин,4,2012,автоматическая,3.0,306.0,44000.0,полный,Левый,1.0,0.0
153,1,523i,седан,серый,бензин,4,2000,автоматическая,2.5,170.0,320000.0,задний,Левый,3.0,0.0
154,1,18d xDrive,внедорожник,белый,дизель,5,2016,автоматическая,2.0,150.0,70000.0,полный,Левый,1.0,0.0
155,1,318i,седан,красный,бензин,4,2011,автоматическая,2.0,136.0,120000.0,задний,Левый,3.0,0.0
156,1,650i xDrive,купе,синий,бензин,2,2012,автоматическая,4.4,407.0,64500.0,полный,Левый,3.0,0.0
157,1,520d,седан,чёрный,дизель,4,2017,автоматическая,2.0,190.0,42620.0,задний,Левый,2.0,0.0
158,1,35i,внедорожник,чёрный,бензин,5,2013,автоматическая,3.0,306.0,66654.0,полный,Левый,2.0,0.0
159,1,523i,седан,серебристый,бензин,4,2010,автоматическая,2.5,204.0,138000.0,задний,Левый,3.0,0.0
160,1,30i,внедорожник,синий,бензин,5,2004,автоматическая,3.0,231.0,189000.0,полный,Левый,3.0,0.0
161,1,330i,седан,чёрный,бензин,4,2019,автоматическая,2.0,258.0,23200.0,задний,Левый,1.0,0.0
162,1,35d,внедорожник,серый,дизель,5,2010,автоматическая,3.0,269.0,226000.0,полный,Левый,1.0,0.0
163,1,18i,внедорожник,оранжевый,бензин,5,2014,автоматическая,2.0,150.0,32085.0,задний,Левый,1.0,0.0
164,1,30i,внедорожник,чёрный,бензин,5,2005,автоматическая,3.0,231.0,176001.0,полный,Левый,3.0,0.0
165,1,520d,седан,чёрный,дизель,4,2008,автоматическая,2.0,177.0,166000.0,задний,Левый,3.0,0.0
166,1,530d xDrive,седан,чёрный,дизель,4,2016,автоматическая,3.0,258.0,105000.0,полный,Левый,3.0,0.0
167,1,523i,седан,серый,бензин,4,2000,автоматическая,2.5,170.0,220000.0,задний,Левый,3.0,0.0
169,1,318i,седан,серебристый,бензин,4,2011,автоматическая,2.0,136.0,135400.0,задний,Левый,3.0,0.0
170,1,540i,седан,чёрный,бензин,4,2000,автоматическая,4.4,286.0,440000.0,задний,Левый,3.0,0.0
171,1,35d,внедорожник,белый,дизель,5,2008,автоматическая,3.0,286.0,173000.0,полный,Левый,3.0,0.0
172,1,523i,седан,серебристый,бензин,4,1998,автоматическая,2.5,170.0,224000.0,задний,Левый,3.0,0.0
173,1,28i xDrive,внедорожник,белый,бензин,5,2012,автоматическая,3.0,258.0,118000.0,полный,Левый,3.0,0.0
174,1,525d xDrive,седан,белый,дизель,4,2013,автоматическая,2.0,218.0,130000.0,полный,Левый,3.0,0.0
175,1,750Li xDrive,седан,чёрный,бензин,4,2011,автоматическая,4.4,407.0,142250.0,полный,Левый,3.0,0.0
176,1,20d xDrive,внедорожник,серебристый,дизель,5,2019,автоматическая,2.0,190.0,200.0,полный,Левый,1.0,0.0
177,1,35d,внедорожник,серый,дизель,5,2008,автоматическая,3.0,286.0,170000.0,полный,Левый,1.0,0.0
178,1,30d,внедорожник,чёрный,дизель,5,2019,автоматическая,3.0,249.0,680.0,полный,Левый,1.0,0.0
179,1,30d,внедорожник,белый,дизель,5,2010,автоматическая,3.0,245.0,195000.0,полный,Левый,3.0,0.0
180,1,520i,седан,коричневый,бензин,4,2013,автоматическая,2.0,184.0,106000.0,задний,Левый,2.0,0.0
181,1,4.4i,внедорожник,чёрный,бензин,5,2005,автоматическая,4.4,320.0,199500.0,полный,Левый,2.0,0.0
182,1,318d,седан,белый,дизель,4,2008,механическая,2.0,143.0,179000.0,задний,Левый,3.0,0.0
183,1,520d,седан,белый,дизель,4,2015,автоматическая,2.0,190.0,77036.0,задний,Левый,2.0,0.0
184,1,40i,внедорожник,чёрный,бензин,5,2019,автоматическая,3.0,340.0,100.0,полный,Левый,1.0,0.0
185,1,40i,внедорожник,синий,бензин,5,2019,автоматическая,3.0,340.0,3.0,полный,Левый,1.0,0.0
186,1,320i xDrive,лифтбек,чёрный,бензин,5,2016,автоматическая,2.0,184.0,24500.0,полный,Левый,1.0,0.0
187,1,30d,внедорожник,чёрный,дизель,5,2012,автоматическая,3.0,245.0,168000.0,полный,Левый,3.0,0.0
188,1,30d,внедорожник,серый,дизель,5,2019,автоматическая,3.0,249.0,3844.0,полный,Левый,1.0,0.0
189,1,30d,внедорожник,чёрный,дизель,5,2013,автоматическая,3.0,249.0,80000.0,полный,Левый,2.0,0.0
190,1,630d xDrive,лифтбек,чёрный,дизель,5,2018,автоматическая,3.0,249.0,30803.0,полный,Левый,1.0,0.0
191,1,520i,седан,белый,бензин,4,2018,автоматическая,2.0,184.0,27700.0,задний,Левый,1.0,0.0
192,1,116i,хэтчбек,чёрный,бензин,5,2013,автоматическая,1.6,136.0,143000.0,задний,Левый,3.0,0.0
193,1,320i,купе,серебристый,бензин,2,1999,автоматическая,2.0,150.0,300500.0,задний,Левый,3.0,0.0
194,1,40d,внедорожник,чёрный,дизель,5,2015,автоматическая,3.0,313.0,122000.0,полный,Левый,2.0,0.0
195,1,320d xDrive,седан,чёрный,дизель,4,2019,автоматическая,2.0,190.0,25000.0,полный,Левый,1.0,0.0
196,1,20i xDrive,внедорожник,синий,бензин,5,2013,автоматическая,2.0,184.0,105000.0,полный,Левый,3.0,0.0
197,1,40d,внедорожник,чёрный,дизель,5,2012,автоматическая,3.0,306.0,122000.0,полный,Левый,2.0,0.0
198,1,645i,купе,чёрный,бензин,2,2004,автоматическая,4.4,333.0,36000.0,задний,Левый,3.0,0.0
199,1,420d xDrive,купе,синий,дизель,2,2014,автоматическая,2.0,184.0,96000.0,полный,Левый,3.0,0.0
200,1,30d,внедорожник,серый,дизель,5,2008,автоматическая,3.0,235.0,310000.0,полный,Левый,3.0,0.0
201,1,530i xDrive,седан,белый,бензин,4,2019,автоматическая,2.0,249.0,19917.0,полный,Левый,1.0,0.0
202,1,118i,хэтчбек,голубой,бензин,5,2017,автоматическая,1.5,136.0,56600.0,задний,Левый,2.0,0.0
203,1,35i,внедорожник,белый,бензин,5,2010,автоматическая,3.0,306.0,126000.0,полный,Левый,3.0,0.0
205,1,M50d,внедорожник,белый,дизель,5,2014,автоматическая,3.0,381.0,142000.0,полный,Левый,2.0,0.0
206,1,750Li xDrive,седан,чёрный,бензин,4,2010,автоматическая,4.4,407.0,117851.0,полный,Левый,1.0,0.0
207,1,520d xDrive,седан,белый,дизель,4,2018,автоматическая,2.0,190.0,27000.0,полный,Левый,1.0,0.0
208,1,30d,внедорожник,серый,дизель,5,2008,автоматическая,3.0,235.0,264000.0,полный,Левый,3.0,0.0
209,1,750Li xDrive,седан,чёрный,бензин,4,2011,автоматическая,4.4,407.0,110871.0,полный,Левый,2.0,0.0
210,1,120i,хэтчбек,чёрный,бензин,5,2009,автоматическая,2.0,156.0,170000.0,задний,Левый,3.0,0.0
211,1,35i,внедорожник,чёрный,бензин,5,2013,автоматическая,3.0,306.0,128000.0,полный,Левый,3.0,0.0
212,1,320i xDrive,седан,белый,бензин,4,2016,автоматическая,2.0,184.0,26870.0,полный,Левый,1.0,0.0
213,1,35i,внедорожник,белый,бензин,5,2010,автоматическая,3.0,306.0,120000.0,полный,Левый,3.0,0.0
214,1,20d xDrive,внедорожник,коричневый,дизель,5,2011,автоматическая,2.0,184.0,197871.0,полный,Левый,3.0,0.0
215,1,318i,седан,серебристый,бензин,4,2002,автоматическая,2.0,143.0,258000.0,задний,Левый,3.0,0.0
216,1,28i xDrive,внедорожник,белый,бензин,5,2015,автоматическая,2.0,245.0,68729.0,полный,Левый,1.0,0.0
217,1,25d,внедорожник,белый,дизель,5,2015,автоматическая,3.0,218.0,70000.0,полный,Левый,2.0,0.0
218,1,25i,внедорожник,синий,бензин,5,2007,автоматическая,2.5,218.0,178000.0,полный,Левый,3.0,0.0
219,1,318i,седан,белый,бензин,4,2016,автоматическая,1.5,136.0,89884.0,задний,Левый,3.0,0.0
220,1,3.0si,внедорожник,чёрный,бензин,5,2007,автоматическая,3.0,272.0,213000.0,полный,Левый,3.0,0.0
221,1,535i,седан,синий,бензин,4,1999,автоматическая,3.5,245.0,234000.0,задний,Левый,3.0,0.0
222,1,530d,седан,зелёный,дизель,4,2003,автоматическая,3.0,218.0,300000.0,задний,Левый,3.0,0.0
223,1,20i,внедорожник,оранжевый,бензин,5,2013,автоматическая,2.0,184.0,58000.0,полный,Левый,3.0,0.0
224,1,116i,хэтчбек,белый,бензин,5,2009,автоматическая,1.6,115.0,224000.0,задний,Левый,3.0,0.0
225,1,20i xDrive,внедорожник,чёрный,бензин,5,2018,автоматическая,2.0,192.0,20518.0,полный,Левый,1.0,0.0
226,1,28i,внедорожник,коричневый,бензин,5,2016,автоматическая,2.0,245.0,24000.0,полный,Левый,1.0,0.0
227,1,40i,внедорожник,белый,бензин,5,2019,автоматическая,3.0,340.0,15000.0,полный,Левый,1.0,0.0
229,1,520i,седан,белый,бензин,4,2016,автоматическая,2.0,184.0,20900.0,задний,Левый,1.0,0.0
230,1,730Ld xDrive,седан,чёрный,дизель,4,2019,автоматическая,3.0,249.0,1131.0,полный,Левый,1.0,0.0
231,1,30d,внедорожник,чёрный,дизель,5,2019,автоматическая,3.0,249.0,5000.0,полный,Левый,1.0,0.0
232,1,528i,седан,синий,бензин,4,2000,автоматическая,2.8,193.0,379416.0,задний,Левый,3.0,0.0
233,1,35i,внедорожник,серый,бензин,5,2011,автоматическая,3.0,306.0,79874.0,полный,Левый,2.0,0.0
234,1,520d,универсал,бежевый,дизель,5,2008,механическая,2.0,177.0,194000.0,задний,Левый,1.0,0.0
235,1,320i,седан,синий,бензин,4,2004,автоматическая,2.2,170.0,202000.0,задний,Левый,3.0,0.0
236,1,30d,внедорожник,фиолетовый,дизель,5,2019,автоматическая,3.0,249.0,12.0,полный,Левый,1.0,0.0
